"gene","bulk_logFC","bulk_adjP","module","direction","kME","validation_logFC","direction_concordant","pb_dominant_celltype","pb_log2FC","pb_p","pb_class","composition_adj_class","validation_logFC_full","cross_cohort_concordant","ev_bulk_sig","ev_cross_conc","ev_hub","ev_pb_intrinsic","ev_adj_retain","evidence_layer_count"
"IFIT5",1.08251595232845,1.29736455431717e-06,"turquoise","up",0.893100821677379,0.46489012037037,TRUE,"Schwann/tumour",3.97165642475973e-06,0.016738745115713,"both","attenuated",0.46489012037037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"TMTC1",-1.61755436402159,1.32557485414863e-06,"yellow","down",0.894583003681546,-2.84461039814815,TRUE,"Endothelial",-1.5323267209989,1.4037283519919e-06,"both","attenuated",-2.84461039814815,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"FAM13C",-1.15249260881573,1.56167760217389e-06,"yellow","down",0.808192319765175,-2.21643093518518,TRUE,"Pericyte",0.49838174585839,0.0447746483779128,"composition-consistent","retained",-2.21643093518518,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"SVEP1",-1.34692083451966,1.69448916779784e-06,"yellow","down",0.875989131133492,-3.48425338888889,TRUE,"Fibroblast",-1.11586154923727,0.0319584596314573,"both","attenuated",-3.48425338888889,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"SFRP2",-2.39893537465767,1.92785068043573e-06,"yellow","down",0.85130038469504,-7.8385142037037,TRUE,"Fibroblast",-3.8086126016815,0.00182531797621116,"both","attenuated",-7.8385142037037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"CORO2B",1.19267720345721,1.96280329779497e-06,"turquoise","up",0.886396029835937,1.58031609259259,TRUE,"Schwann/tumour",2.59267959284493e-06,0.0401834827909814,"both","attenuated",1.58031609259259,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ACBD5",1.305939934367,2.14186151758646e-06,"turquoise","up",0.930061674456318,0.327077537037038,TRUE,"Myeloid",0.395075426263236,0.00353629542468618,"both","attenuated",0.327077537037038,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ZNF521",-1.29554074546338,3.09064944655291e-06,"yellow","down",0.842741925119523,-2.32216941666667,TRUE,"Endothelial",-1.29356933992365,1.8328097306817e-09,"both","attenuated",-2.32216941666667,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"TANC2",1.15218176796608,3.10728202039021e-06,"turquoise","up",0.877629012661275,0.872457231481484,TRUE,"Myeloid",1.16281571285299,0.00112862381003105,"both","attenuated",0.872457231481484,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"RERG",-1.1475598640825,3.16848330530898e-06,"yellow","down",0.882226511254492,-1.77178437962963,TRUE,"Pericyte",-0.0823504844316477,0.670229891815297,"composition-consistent","retained",-1.77178437962963,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"KLHL5",1.34912978579491,5.26566099338434e-06,"turquoise","up",0.877879173039077,1.12670875925926,TRUE,"Myeloid",5.54475983200552e-06,0.0216907508511127,"both","attenuated",1.12670875925926,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
