"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"FMR1",0.476260463265227,0.0026916348147008,0.151293892350319,9.491822744475,0.389396034977905,0.699227675780235,0.839725100052601,-6.07297550566087,FALSE,FALSE,"neither"
"FMR1NB",-0.356318800565149,0.00274820659598673,-0.475013637728553,6.624161029325,-1.56728615083944,0.125605852519594,0.410557993775119,-4.98246019839685,FALSE,FALSE,"neither"
"FN3K",0.936802081578263,3.44019601595193e-05,-0.596464774152026,9.847784469025,-1.65934426466428,0.105544683150247,0.378495183132633,-4.84681086113255,FALSE,FALSE,"neither"
"FN3KRP",0.71300258079954,3.33435117521445e-05,0.240638810093936,9.321059036425,0.683742348331765,0.498420047080717,0.724017165328864,-5.91937513902731,FALSE,FALSE,"neither"
"FNBP1",0.0837279752505804,0.698730851772017,0.127772083415522,9.294502932,0.255510760452428,0.799751459273597,0.899467338631329,-6.11520101056804,FALSE,FALSE,"neither"
"FNBP1L",-0.268047168337704,0.261057127263666,-0.651385818095415,7.7269246986,-1.00985671447996,0.319158425632199,0.60182760532831,-5.65404395626253,FALSE,FALSE,"neither"
"FNBP4",0.422610776336164,0.000941916079092353,0.272567935363133,9.43573616875,0.884752166584173,0.382027660789139,0.64656765770982,-5.76741913818195,FALSE,FALSE,"neither"
"FNDC1",-0.348328888521973,0.30926957819495,0.688154691637124,7.933390048125,1.05143137953435,0.299916452729348,0.586641225763986,-5.61323815088623,FALSE,FALSE,"neither"
"FNDC3A",0.968261960174253,5.08900292786348e-06,0.585245330551068,9.698487413525,1.26504148893068,0.213809070058327,0.513033237173507,-5.37949470061415,FALSE,FALSE,"neither"
"FNDC3B",0.323494242619894,0.00224602214784063,0.533005602124648,10.0767073737,1.99606649474269,0.053353836213932,0.277076868693098,-4.29579448958825,FALSE,FALSE,"neither"
"FNDC4",-0.167901380054738,0.227989281309326,-0.418257418171274,8.536808844225,-1.21366285153108,0.232609035719173,0.530278827909727,-5.43935076257109,FALSE,FALSE,"neither"
"FNDC5",-1.09116899133539,2.27740505044445e-08,-1.38155605077305,7.321752524075,-4.06971467301009,0.000239018667700325,0.0154541622160867,0.49840979999166,TRUE,TRUE,"retained"
"FNDC7",-0.449384356262142,0.000760420359962371,-0.639728031090844,4.749540210575,-1.9802732274433,0.0551869710607561,0.281424318581748,-4.32356303878473,FALSE,FALSE,"neither"
"FNDC8",-0.331404282591365,0.00477784852692316,-0.296175688883906,6.364052041525,-0.986840993909735,0.330163624607147,0.610044525157066,-5.67596753849801,FALSE,FALSE,"neither"
"FNDC9",-0.604501883203545,7.23043014900381e-05,-0.798514864578821,6.2010006547,-2.2896853729463,0.0278736312251428,0.199037805611912,-3.75037857943177,FALSE,FALSE,"neither"
"FNIP1",0.854906236840405,5.41830367182739e-07,0.61665807064784,9.583759945475,1.76127856279303,0.0864972434673014,0.346314067383831,-4.68893374536388,FALSE,FALSE,"neither"
"FNIP2",0.211960851290677,0.239937403727448,-0.406109380707415,9.1567401635,-0.961815961349563,0.342420008656165,0.617847630188842,-5.69925899151185,FALSE,FALSE,"neither"
"FNTA",0.46827314962529,0.00186384470495585,-0.162555083353586,8.37499921375,-0.469863010327484,0.64122554251849,0.808185751799519,-6.03923653863287,FALSE,FALSE,"neither"
"FOCAD",0.221025240811104,0.0780478272548703,0.591554003586178,7.80881233555,2.11991323500952,0.0408184498790444,0.240333706933089,-4.07277789307825,FALSE,FALSE,"neither"
"FOLH1B",-1.26480731204009,0.0005185869239073,-2.27253416058281,6.444075424,-2.60066891310041,0.0133183535490498,0.134487430243552,-3.11356892799944,TRUE,FALSE,"attenuated"
"FOLR1",-0.7871583604441,0.000290418761555745,-0.632556422923261,5.99475783585,-1.24686915261506,0.220323781093663,0.519484096832618,-5.40092514902136,FALSE,FALSE,"neither"
"FOLR2",0.0104355453816538,0.979840956801004,2.17237553956089,8.58138780055,3.13976206160932,0.00332697133704322,0.0610696603053866,-1.88710572628588,FALSE,FALSE,"neither"
"FOLR3",-0.691837641589049,8.44262985621874e-06,-0.701225752824761,7.62323270355,-2.42698528084522,0.0202398743488181,0.16922204359898,-3.47626498346529,FALSE,FALSE,"neither"
"FOS",0.387568139273709,0.159868742774418,0.37667704986527,11.6185301516,0.59599030528519,0.554830238528225,0.757399312309748,-5.97382574881138,FALSE,FALSE,"neither"
