gene,logFC,P.Value,adj.P.Val
ARHGAP18,1.15296989968311,2.81511863094855e-07,3.21982677472452e-06
CLSTN2,1.29306450341558,2.83706669040686e-07,3.2385172339506e-06
EAPP,1.02411567595837,2.85467302277072e-07,3.25218764882124e-06
AZI2,1.0700928191064,2.86994720587106e-07,3.26086979433726e-06
LMBRD2,1.27271970600771,2.87170320069175e-07,3.26086979433726e-06
LRG1,-1.05327163935466,2.8874053024538e-07,3.27496275530014e-06
F5,-1.05063672277949,2.89967276657789e-07,3.28616937209036e-06
CHI3L2,-1.69122380373631,2.99358065040285e-07,3.37713317123571e-06
ACOT4,1.0238400889283,3.01584572290269e-07,3.39782670263055e-06
CXCL2,-1.70655153865998,3.05120787968502e-07,3.43097534971979e-06
ADAM19,-1.17520499373477,3.08084386251379e-07,3.45756881150512e-06
ETFRF1,1.16294772614726,3.17616133264051e-07,3.55303573737862e-06
VSNL1,-1.10005055497533,3.21308519134661e-07,3.58047203830573e-06
HAVCR2,1.2714484566145,3.22530040398858e-07,3.5917741259842e-06
HCAR2,-1.47785428143022,3.33103302139408e-07,3.69527145932885e-06
CXCL16,1.77398737394218,3.3506870491275e-07,3.71232130353461e-06
TBC1D5,1.04273711849113,3.36817036100121e-07,3.72930709363763e-06
PMEPA1,1.20050247630764,3.39333227573362e-07,3.74997842308113e-06
WASHC3,1.2324652458936,3.39793153902262e-07,3.75266779529535e-06
ADAMTS1,-1.54243836669854,3.522090572441e-07,3.87251176645036e-06
SFN,-1.1105725818404,3.56156540968263e-07,3.90600034297345e-06
FHL1,-1.08456401523053,3.59598272964398e-07,3.93876035014354e-06
HEY1,1.19053772462838,3.62394139123968e-07,3.96187106797484e-06
PDCD1LG2,1.11938541395297,3.62929157434373e-07,3.96521843633217e-06
SHTN1,1.55584796090825,3.74004396249534e-07,4.05300073684298e-06
HCAR3,-1.32225547401619,3.74918678925718e-07,4.05783314704862e-06
PYGM,-1.20227829769314,3.77499014119369e-07,4.08066307963844e-06
VAMP8,1.3098499182822,3.86935527634711e-07,4.16707198437183e-06
PPP2R2B,1.00147864080648,3.90017682175003e-07,4.19244813692832e-06
EXOSC10,1.08127898613416,3.97943133617292e-07,4.26375027468311e-06
TMEM86A,1.03080006102313,3.98373251079869e-07,4.26375027468311e-06
SLC1A2,-1.40664254415035,4.01360308381392e-07,4.29042037238295e-06
ANO6,1.26406038047186,4.04904870955361e-07,4.32564217257367e-06
BEX4,1.15364649198381,4.05694812445369e-07,4.33141078869584e-06
ADI1,1.34625130072938,4.06960345045234e-07,4.33957468242697e-06
STX7,1.03811504503161,4.09719361039524e-07,4.35826708906868e-06
CASP6,1.07589329836238,4.2267737150222e-07,4.48234607918633e-06
HLA-DQA1,1.87260665980648,4.38279582310217e-07,4.63362330828031e-06
GATM,2.30490561320972,4.55510635817967e-07,4.76348116925391e-06
SIX1,-1.19921127241557,4.59843735996374e-07,4.79432747132682e-06
SLU7,1.14783061384889,4.61351173357715e-07,4.80715161271346e-06
ADCY8,-1.15467390602082,4.6453314847008e-07,4.83159087436347e-06
ARSJ,-1.04093450830146,4.71258941059919e-07,4.88980534771633e-06
LRRCC1,1.23376672194141,4.74013010922223e-07,4.91249847683031e-06
TMEM255A,1.37627166720046,4.867528374742e-07,5.01453814967475e-06
DEPTOR,1.04553106523285,5.12135426192659e-07,5.20791236212817e-06
KLHL5,1.34912978579491,5.19029834758798e-07,5.26566099338434e-06
RNF130,1.08156791474249,5.26743710626732e-07,5.33143400568926e-06
