gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ANK3,2.41360839996531,10.21803939505,11.5881861334682,1.42469779352372e-14,4.65795535210926e-12,23.0825807199732
PDE1C,1.54964784448034,8.18042643855,11.5729393826854,1.4857095735995e-14,4.7674769428393e-12,23.041448745642
CLMP,-1.89879292869622,7.763983174175,-11.4051261541259,2.36175529681191e-14,7.28035245035821e-12,22.5866437820486
ARHGAP24,1.6093174779229,9.119570678475,11.4042010666466,2.36782152886493e-14,7.28035245035821e-12,22.5841260149336
PPFIBP2,1.59844644115266,8.9987551447,11.4001079419008,2.39485277972309e-14,7.28035245035821e-12,22.5729845529218
RCAN3,1.44529347103932,9.464309397725,11.388447532701,2.45676686914841e-14,7.33980281182821e-12,22.5476950883141
SLIT2,2.43801622682961,10.6800743209,11.3754878903384,2.56419842464156e-14,7.53092039020152e-12,22.5059208384342
RENBP,1.21845005830224,8.368101761975,11.3471219353886,2.75572291468252e-14,7.95852777760312e-12,22.4349722513769
IL34,1.98184804847109,10.807765207625,11.3303089420857,2.90730872402261e-14,8.25866320817439e-12,22.3826412782317
PI16,-2.45110687645952,7.882684133425,-11.2203365253986,3.95119158034605e-14,1.10429431781026e-11,22.0813990301406
STS,2.07332262642791,9.449487590475,11.2037735104339,4.13860452848377e-14,1.13831332173916e-11,22.0358860821286
MET,2.20364965756052,9.151481643525,11.1755629184596,4.47886912540356e-14,1.21265381570301e-11,21.9582811552768
CCND1,1.62749978802853,11.741230877775,11.1482804677463,4.83499995784486e-14,1.2889366041467e-11,21.8831263815687
CCDC9B,1.28158751753585,8.967660459525,11.1382213190146,4.93529398230062e-14,1.29573900189856e-11,21.8626735703318
KCNJ15,-1.34280532483731,6.494250277725,-11.1224427418693,5.19880648206012e-14,1.34455102568862e-11,21.8118579264257
PAK3,-2.11744213773169,6.834244615475,-11.1025899273773,5.4971580665866e-14,1.40080522026195e-11,21.7570359466261
