"gene","bulk_logFC","dominant_celltype","pb_log2FC_in_dom","pb_p_in_dom","dom_pct_shift_VS_minus_Nerve","class"
"S100P",-1.42386971430994,"巨噬/髓系",-2.84762925143106e-06,3.60439301019817e-08,45.88,"cell-intrinsic (candidate)"
"ERCC5",1.01740427048419,"成纤维",-0.000940517631726657,0.987793238768036,-42.35,"ambiguous/undetermined"
"RB1",1.21154097783192,"巨噬/髓系",4.5978535550297e-06,0.145067762190405,45.88,"composition-consistent"
"POLR3GL",1.03489617728836,"T细胞",-8.94328425306979e-07,0.399464321763424,15.09,"composition-consistent"
"NIPSNAP3A",1.14165113980262,"周细胞",-0.458621393434981,0.0585163424767538,-23.07,"ambiguous/undetermined"
"ZNF521",-1.29554074546338,"内皮",-1.29356933992365,1.8328097306817e-09,-16.73,"both"
"TANC2",1.15218176796608,"巨噬/髓系",1.16281571285299,0.00112862381003105,45.88,"both"
"MAP4K5",1.14777311810409,"Schwann/肿瘤细胞",1.10210095478287e-06,0.635219920728644,21.18,"composition-consistent"
"INPP5D",1.37328175502622,"巨噬/髓系",4.74551631275004e-07,0.884093403599517,45.88,"composition-consistent"
"LAMA4",1.09883749064225,"成纤维",-0.142568868127366,0.622299596346996,-42.35,"ambiguous/undetermined"
"BTN3A3",1.32029341373709,"内皮",-3.5410824855373e-06,0.21194147943513,-16.73,"ambiguous/undetermined"
"RERG",-1.1475598640825,"周细胞",-0.0823504844316477,0.670229891815297,-23.07,"composition-consistent"
"ARHGAP18",1.15296989968311,"巨噬/髓系",4.99999654044281e-06,0.205947692896608,45.88,"composition-consistent"
"CLSTN2",1.29306450341558,"Schwann/肿瘤细胞",3.64967634739684,0.00112744792447506,21.18,"both"
"EAPP",1.02411567595837,"成纤维",-0.619918497093631,0.0043770118643981,-42.35,"ambiguous/undetermined"
"AZI2",1.0700928191064,"成纤维",-0.43330725029133,0.092346273123278,-42.35,"ambiguous/undetermined"
"LMBRD2",1.27271970600771,"Schwann/肿瘤细胞",-2.03922921301288e-06,0.237895195471447,21.18,"composition-consistent"
"LRG1",-1.05327163935466,"内皮",-8.26191139682664e-06,2.6267396786848e-05,-16.73,"both"
"F5",-1.05063672277949,"内皮",-3.31057791192229e-07,0.607075511451913,-16.73,"composition-consistent"
"CHI3L2",-1.69122380373631,"T细胞",8.65972106212423e-07,0.55136948227092,15.09,"ambiguous/undetermined"
"ACOT4",1.0238400889283,"T细胞",1.46423734417107e-06,0.449462965417261,15.09,"composition-consistent"
"CXCL2",-1.70655153865998,"巨噬/髓系",9.79714021595509e-08,0.916007240205408,45.88,"ambiguous/undetermined"
"ADAM19",-1.17520499373477,"T细胞",-5.4517900301472e-06,0.469953926733592,15.09,"ambiguous/undetermined"
"ETFRF1",1.16294772614726,"Schwann/肿瘤细胞",-2.60395442904457e-06,0.43443193871149,21.18,"composition-consistent"
"VSNL1",-1.10005055497533,"成纤维",-0.32166015453066,0.314809766180807,-42.35,"composition-consistent"
"HAVCR2",1.2714484566145,"巨噬/髓系",1.4671519765966,5.12571716607221e-10,45.88,"both"
"HCAR2",-1.47785428143022,"巨噬/髓系",-4.34760097022023e-07,0.759097550448263,45.88,"ambiguous/undetermined"
"CXCL16",1.77398737394218,"巨噬/髓系",-1.04511082117107e-06,0.279158349286271,45.88,"composition-consistent"
"TBC1D5",1.04273711849113,"内皮",-5.90378641946921e-07,0.899127590574438,-16.73,"ambiguous/undetermined"
