gene,module,direction,kME,GS,logFC,adj.P.Val,is_hub
USP34,turquoise,up,0.915073383139068,0.500591827026351,0.61968622900463,0.00242484493425057,FALSE
HPS5,turquoise,up,0.914034475024207,0.86972804817943,1.63957722372244,4.39419787190604e-11,TRUE
PRMT2,turquoise,up,0.913849774625625,0.769076798118732,1.25605649213724,1.59627466525919e-07,TRUE
C1orf198,turquoise,up,0.913179531883415,0.70005689616019,0.977575568758676,5.60747464753654e-06,FALSE
LTN1,turquoise,up,0.913036947410552,0.584457999672786,0.627191666437162,0.000310356353706621,FALSE
SOS2,turquoise,up,0.912908797599437,0.69868237727742,1.08359068570779,5.45245778538442e-06,TRUE
BNIP2,turquoise,up,0.9128475888041,0.676329874947673,0.946501385258289,1.51334772379385e-05,FALSE
RIMOC1,turquoise,up,0.912822275842446,0.651818598939707,1.07190713618042,3.18173244561586e-05,TRUE
POT1,turquoise,up,0.912217139012867,0.602848305955807,0.717197707393217,0.000171963389480093,FALSE
TMEM107,turquoise,up,0.912215692979571,0.699579221093182,0.69297723280417,8.90816950597379e-06,FALSE
SIPA1L1,turquoise,up,0.912201632504637,0.792157485225628,1.37025542402082,3.59204637357688e-08,TRUE
TFCP2,turquoise,up,0.911920353079075,0.628811396739659,0.74031538154588,8.31108632591283e-05,FALSE
STAG1,turquoise,up,0.91183002917838,0.590481024931573,0.687915641919815,0.000250625267979814,FALSE
WDFY3,turquoise,up,0.911820667811264,0.697298040245741,0.913650003107945,6.91422546164298e-06,FALSE
PLBD2,turquoise,up,0.911737741118974,0.813269700114276,1.13906264711565,1.25309201536115e-08,TRUE
SPOPL,turquoise,up,0.911525340024904,0.621997801706001,0.7391377637926,9.62382656168355e-05,FALSE
ATL1,turquoise,up,0.911423453497397,0.762705706408461,1.32584684219892,2.01517616797436e-07,TRUE
C5orf22,turquoise,up,0.911200043064311,0.671003701334519,0.767074372540478,1.84995158703943e-05,FALSE
SKA2,turquoise,up,0.911121611171286,0.571294230424592,1.01175878308019,0.00035850300058241,TRUE
ATP6V1C1,turquoise,up,0.911118902557175,0.746416882126841,1.28636683104241,5.07952721512708e-07,TRUE
BRWD1,turquoise,up,0.911097607339106,0.591276962605514,0.620172753298381,0.000259435810544913,FALSE
EPC2,turquoise,up,0.910502701552425,0.617737815623124,0.766987736750195,0.000114151605615205,FALSE
TEX2,turquoise,up,0.910265519716088,0.774650599258498,1.20233029983269,1.22401545144737e-07,TRUE
