gene,module,direction,discovery_logFC,validation_logFC,direction_concordant
LYRM9,turquoise,up,1.38686069182421,-0.408316111111112,FALSE
LYVE1,yellow,down,-1.5025248006091,-2.60373416666667,TRUE
MAP4K3,turquoise,up,1.42136415534156,0.618154648148149,TRUE
MAP4K5,turquoise,up,1.14777311810409,0.481872129629627,TRUE
MBOAT2,turquoise,up,1.13220362338242,0.730577703703702,TRUE
MEOX2,yellow,down,-2.00651304651117,-5.84395157407407,TRUE
MET,turquoise,up,2.20364965756052,1.7899654537037,TRUE
MFAP5,yellow,down,-3.22974550088049,-9.09594585185185,TRUE
MFSD11,turquoise,up,1.16849534049036,0.421106675925926,TRUE
MICA,turquoise,up,1.31751014393755,0.693857055555553,TRUE
MID1,turquoise,up,1.85780204931535,2.77630569444444,TRUE
MINDY2,turquoise,up,1.65223441316577,0.441922592592594,TRUE
MLLT10,turquoise,up,1.03383242777949,0.518571351851849,TRUE
MOCS2,turquoise,up,1.32088068229607,1.09087764814815,TRUE
MOSPD2,turquoise,up,1.56463127873323,0.857273444444445,TRUE
MRPS18C,turquoise,up,1.22791687612876,0.391792574074072,TRUE
MRPS28,turquoise,up,1.26655990842483,0.321505222222222,TRUE
MTCL3,turquoise,up,1.86776741613724,1.07128394444444,TRUE
MTM1,turquoise,up,1.03674050580031,0.159512250000001,TRUE
MTR,turquoise,up,1.00113685482036,0.0475642407407406,TRUE
NAPEPLD,turquoise,up,1.26341032663146,0.948298638888889,TRUE
NCAM1,turquoise,up,2.29990070972244,2.49226433333333,TRUE
NCAM2,turquoise,up,2.76006595202236,2.56578251851852,TRUE
NCK1,turquoise,up,1.2940195419522,0.422916787037037,TRUE
NIPAL3,turquoise,up,1.01696158247032,0.656036157407407,TRUE
NMI,turquoise,up,1.50173308843254,0.992076148148148,TRUE
NRCAM,turquoise,up,2.4107897716569,2.22479774074074,TRUE
NXPE3,turquoise,up,1.23601895668929,1.14622435185185,TRUE
ODR4,turquoise,up,1.04876583029684,-0.134668916666664,FALSE
OLFML1,yellow,down,-1.40032486555204,-2.26332052777778,TRUE
OMD,yellow,down,-1.4557325088643,-5.59605477777778,TRUE
ORC3,turquoise,up,1.13824167498535,0.411846296296297,TRUE
OSBPL11,turquoise,up,1.32635249847726,1.56119384259259,TRUE
OSGIN2,turquoise,up,1.06669600954665,0.758384157407406,TRUE
PAK2,turquoise,up,1.05970458973863,0.905539018518519,TRUE
PAK3,yellow,down,-2.11744213773169,-4.53025933333333,TRUE
PARP14,turquoise,up,1.4572428879522,1.04961732407408,TRUE
PARP9,turquoise,up,1.47504140065228,1.11335100925926,TRUE
PCBP4,turquoise,up,1.08382752319969,0.532002166666668,TRUE
PCDH18,yellow,down,-1.69053627265767,-3.44747455555556,TRUE
